coefficient,Estimate,mod_names,mod_inc,mod_type,crossed
Gini,0.468640426382102,Dr,ALL,BINOMIAL,
Monitoring and Surveillance,0.528092251109752,Dr,ALL,BINOMIAL,
Action,0.482255488770842,Dr,ALL,BINOMIAL,income interaction
Awareness and Education,0.490535967121803,Dr,ALL,BINOMIAL,
Infection,0.411618453682052,P,ALL,BINOMIAL,
Monitoring and Surveillance,0.304894650916445,P,ALL,BINOMIAL,
Baseline,0.331368645671477,P,ALL,BINOMIAL,income interaction
Action,0.33361586521136,P,ALL,BINOMIAL,
Mean Temperature,0.459319273618625,P,ALL,BINOMIAL,
Workforce,0.522849180555895,P,ALL,BINOMIAL,
Vaccination,0.537196147040173,P,ALL,BINOMIAL,
Animal Production,0.543814282699995,P,ALL,BINOMIAL,
Population Density,0.471509704577568,P,ALL,BINOMIAL,
Gini,0.481860255554802,P,ALL,BINOMIAL,
General,0.493367075035522,P,ALL,BINOMIAL,
income,0.415042404286634,P,ALL,BINOMIAL,
Awareness and Education,0.463317239185379,P,ALL,BINOMIAL,
GDP,0.475227436712713,P,ALL,BINOMIAL,
Sanitation,0.468947180533763,P,ALL,BINOMIAL,
GDP,0.674396532798553,S,ALL,BINOMIAL,
Monitoring and Surveillance,0.266937052154072,S,ALL,BINOMIAL,
Baseline,0.132695930786977,S,ALL,BINOMIAL,income interaction
Infection,0.375342331372935,S,ALL,BINOMIAL,
Vaccination,0.63107979646932,S,ALL,BINOMIAL,
Awareness and Education,0.337611243054179,S,ALL,BINOMIAL,
Mean Temperature,0.638960638037361,S,ALL,BINOMIAL,
Workforce,0.566862891139557,S,ALL,BINOMIAL,
General,0.679675118315492,S,ALL,BINOMIAL,
Action,0.324911882993912,S,ALL,BINOMIAL,
Gini,0.456672149690767,S,ALL,BINOMIAL,
Population Density,0.393908403159707,S,ALL,BINOMIAL,
income,0.112368456176995,S,ALL,BINOMIAL,
Animal Production,0.440122946837314,S,ALL,BINOMIAL,
Sanitation,0.498336981604534,S,ALL,BINOMIAL,
Mean Temperature,0.678584449231882,DPS,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.155556638832342,DPS,ALL,BINOMIAL,
Action,0.12161372642947,DPS,ALL,BINOMIAL,DPSE interaction
General,0.152082040347765,DPS,ALL,BINOMIAL,DPSE interaction
Gini,0.838589791815479,DPS,ALL,BINOMIAL,
Baseline,0.81134095887019,DPS,ALL,BINOMIAL,DPSE interaction
Workforce,0.747082106219423,DPS,ALL,BINOMIAL,
Monitoring and Surveillance,0.371421106164084,DPS,ALL,BINOMIAL,
Infection,0.843712491345427,DPS,ALL,BINOMIAL,DPSE interaction
GDP,0.290491482207183,DPS,ALL,BINOMIAL,
Animal Production,0.588126977913323,DPS,ALL,BINOMIAL,
Vaccination,0.660165868481167,DPS,ALL,BINOMIAL,
Population Density,0.022989790239418,DPS,ALL,BINOMIAL,DPSE interaction
Sanitation,0.376951657185228,DPS,ALL,BINOMIAL,
Sanitation,0.992671370843586,PSE,ALL,BINOMIAL,DPSE interaction
Workforce,0.765366898165508,PSE,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.348900356270627,DP,ALL,BINOMIAL,
Action,0.343859044898508,DP,ALL,BINOMIAL,DPSE interaction
Gini,0.609480948450577,DP,ALL,BINOMIAL,DPSE interaction
Animal Production,0.594150502789008,DP,ALL,BINOMIAL,
Mean Temperature,0.342513791160101,DP,ALL,BINOMIAL,DPSE interaction
GDP,0.429266640744942,DP,ALL,BINOMIAL,
General,0.343689530280694,DP,ALL,BINOMIAL,DPSE interaction
Vaccination,0.562002009261024,DP,ALL,BINOMIAL,
Monitoring and Surveillance,0.572371154896857,DP,ALL,BINOMIAL,DPSE interaction
Baseline,0.540678763263253,DP,ALL,BINOMIAL,DPSE interaction
Infection,0.624298272738721,DP,ALL,BINOMIAL,DPSE interaction
Sanitation,0.512852570871296,DP,ALL,BINOMIAL,DPSE interaction
Workforce,0.657674382774862,DP,ALL,BINOMIAL,DPSE interaction
Population Density,0.228829764051729,DP,ALL,BINOMIAL,DPSE interaction
Monitoring and Surveillance,4.62975051746089e-06,PS,ALL,BINOMIAL,
Workforce,0.9996112109683,PS,ALL,BINOMIAL,DPSE interaction
Action,6.70489074025455e-06,PS,ALL,BINOMIAL,DPSE interaction
Animal Production,0.966388309220294,PS,ALL,BINOMIAL,DPSE interaction
General,0.00159027149512941,PS,ALL,BINOMIAL,DPSE interaction
Sanitation,0.852841219356846,PS,ALL,BINOMIAL,DPSE interaction
Baseline,0.994397807723841,PS,ALL,BINOMIAL,
Vaccination,0.958216940762024,PS,ALL,BINOMIAL,DPSE interaction
Population Density,0.383445007995706,PS,ALL,BINOMIAL,DPSE interaction
Infection,0.198083303965548,PS,ALL,BINOMIAL,DPSE interaction
GDP,0.585020716966201,PS,ALL,BINOMIAL,
Gini,0.537009165791463,PS,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.00782393728351447,PS,ALL,BINOMIAL,
Mean Temperature,0.822916952425825,PS,ALL,BINOMIAL,
Mean Temperature,0.814431965420608,SE,ALL,BINOMIAL,
Action,0.21979308582993,SE,ALL,BINOMIAL,DPSE interaction
Workforce,0.829416681113778,SE,ALL,BINOMIAL,DPSE interaction
Baseline,0.740427666965378,SE,ALL,BINOMIAL,DPSE interaction
General,0.214922864235458,SE,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.29462171343924,SE,ALL,BINOMIAL,
Monitoring and Surveillance,0.285676097452404,SE,ALL,BINOMIAL,DPSE interaction
Animal Production,0.633299324641068,SE,ALL,BINOMIAL,
Sanitation,0.690656776332844,SE,ALL,BINOMIAL,DPSE interaction
GDP,0.497611854152298,SE,ALL,BINOMIAL,
Gini,0.415212709660843,SE,ALL,BINOMIAL,
income,0.0208536063414672,SE,ALL,BINOMIAL,
Vaccination,0.559797184902977,SE,ALL,BINOMIAL,DPSE interaction
Infection,0.503360555351241,SE,ALL,BINOMIAL,
Population Density,0.464437706162237,SE,ALL,BINOMIAL,DPSE interaction
